topic,word,weight
1,social,5647
1,new,4720
1,cultural,4624
1,culture,4430
1,technology,3543
1,society,3319
1,world,2551
1,public,2241
1,political,2150
1,life,1866
1,human,1655
1,future,1615
1,economic,1487
1,information,1465
1,development,1256
1,community,1238
1,power,1203
1,technological,1096
1,change,1084
1,war,1034
1,system,1029
1,support,1026
1,values,1017
1,government,991
1,individual,988
1,countries,981
1,industry,977
1,national,972
1,need,945
1,industrial,898
1,state,882
1,states,878
1,american,872
1,mass,859
1,means,824
1,policy,802
1,societies,799
1,cultures,792
1,intellectual,766
1,century,758
1,resources,743
1,rights,733
1,institutions,728
1,high,725
1,past,725
1,education,718
1,production,704
1,market,704
1,available,702
1,individuals,676
2,france,3011
2,paris,1522
2,england,1219
2,pergamon,1015
2,art,887
2,press,785
2,copyright,777
2,malina,677
2,new,673
2,international,536
2,italy,534
2,rue,527
2,fed,525
2,canada,517
2,rep,515
2,hill,509
2,ger,504
2,japan,499
2,street,482
2,oxford,459
2,york,444
2,london,441
2,article,396
2,journal,380
2,sculpture,379
2,australia,372
2,back,372
2,int,369
2,cambridge,361
2,india,340
2,avenue,337
2,contemporary,322
2,visual,319
2,editorial,311
2,park,305
2,oct,305
2,artists,299
2,artist,298
2,hall,280
2,technology,269
2,headington,261
2,tokyo,259
2,boulogne,258
2,mexico,256
2,obw,256
2,poland,252
2,permission,248
2,publisher,247
2,sep,241
2,nov,240
3,new,5450
3,space,4499
3,virtual,3759
3,world,3744
3,technology,3739
3,media,2630
3,body,2401
3,human,2384
3,interactive,2304
3,experience,2127
3,reality,1919
3,physical,1897
3,interaction,1836
3,environment,1738
3,real,1606
3,technologies,1535
3,technological,1185
3,place,1161
3,system,1160
3,interface,1133
3,user,1046
3,create,936
3,press,934
3,movement,919
3,audience,903
3,narrative,901
3,university,893
3,systems,885
3,screen,872
3,spaces,870
3,viewer,853
3,communication,847
3,york,843
3,control,839
3,game,836
3,based,811
3,environments,796
3,relationship,783
3,future,764
3,machine,707
3,participant,692
3,form,679
3,play,678
3,move,643
3,cyberspace,632
3,process,630
3,forms,623
3,social,623
3,worlds,615
3,vision,611
4,time,8702
4,first,5787
4,people,5028
4,way,4791
4,years,3755
4,made,3652
4,life,3606
4,make,3584
4,another,3303
4,world,3058
4,still,2710
4,great,2627
4,just,2562
4,become,2500
4,often,2379
4,things,2137
4,fact,2040
4,important,2005
4,others,1996
4,point,1988
4,think,1956
4,called,1956
4,find,1948
4,something,1939
4,know,1938
4,too,1927
4,few,1903
4,sense,1896
4,end,1863
4,idea,1819
4,place,1795
4,perhaps,1771
4,long,1753
4,always,1742
4,today,1705
4,never,1699
4,little,1694
4,kind,1691
4,take,1680
4,later,1635
4,good,1633
4,back,1620
4,look,1606
4,possible,1598
4,once,1583
4,say,1564
4,mind,1550
4,set,1546
4,said,1531
4,real,1515
5,computer,15535
5,system,3579
5,computers,3237
5,graphics,3210
5,used,3003
5,program,2931
5,images,2906
5,using,2655
5,image,2599
5,software,2592
5,systems,2502
5,use,2496
5,data,2410
5,visual,2176
5,digital,2107
5,machine,1735
5,design,1692
5,animation,1659
5,information,1502
5,user,1445
5,process,1238
5,programs,1089
5,control,1074
5,display,1024
5,interactive,1015
5,create,1013
5,computing,992
5,programming,951
5,techniques,930
5,technology,924
5,developed,884
5,created,884
5,machines,879
5,produce,859
5,research,852
5,graphic,851
5,output,832
5,model,825
5,generated,794
5,video,764
5,input,750
5,visualization,749
5,processing,747
5,intelligence,739
5,available,731
5,produced,724
5,tool,715
5,human,707
5,screen,707
5,methods,706
6,art,30032
6,aesthetic,5011
6,artists,4579
6,work,4383
6,artist,3724
6,aesthetics,3720
6,works,2731
6,artistic,2385
6,arts,1826
6,painting,1629
6,history,1626
6,experience,1282
6,theory,1254
6,form,1218
6,contemporary,1156
6,way,1144
6,different,1084
6,made,1080
6,example,1068
6,value,1056
6,philosophy,1049
6,artworks,985
6,objects,978
6,first,974
6,view,952
6,modern,897
6,often,894
6,two,854
6,cannot,848
6,sense,847
6,make,837
6,criticism,836
6,important,807
6,question,803
6,expression,777
6,object,776
6,great,769
6,point,768
6,part,760
6,another,730
6,press,710
6,paintings,705
6,use,705
6,historical,686
6,meaning,679
6,good,673
6,say,668
6,said,653
6,kind,650
6,terms,644
7,body,2634
7,dance,2084
7,human,1971
7,movement,1468
7,man,1239
7,women,996
7,performance,928
7,motion,785
7,woman,774
7,image,762
7,viewer,715
7,female,709
7,fire,670
7,head,670
7,play,652
7,hand,595
7,theater,587
7,dancers,578
7,death,576
7,face,554
7,figure,523
7,movements,508
7,dancer,480
7,stage,478
7,power,440
7,bodies,435
7,memory,427
7,figures,420
7,images,417
7,film,404
7,skin,398
7,character,372
7,action,365
7,animal,364
7,position,347
7,hands,343
7,characters,337
7,black,329
7,child,324
7,animals,316
7,sexual,316
7,appears,304
7,wall,303
7,presence,297
7,moving,288
7,gesture,287
7,dream,281
7,choreography,280
7,medical,273
7,cave,271
8,two,3551
8,number,2235
8,patterns,2124
8,pattern,1903
8,three,1624
8,lines,1562
8,line,1429
8,first,1384
8,shape,1375
8,different,1293
8,symmetry,1268
8,figure,1255
8,shown,1238
8,four,1103
8,used,1087
8,point,1026
8,right,1010
8,points,992
8,structure,989
8,left,970
8,example,964
8,shapes,924
8,numbers,919
8,square,907
8,elements,860
8,circle,855
8,set,846
8,given,839
8,golden,802
8,order,802
8,possible,792
8,made,789
8,table,779
8,shows,769
8,series,764
8,group,744
8,rules,699
8,second,683
8,form,675
8,another,668
8,ratio,642
8,rule,630
8,simple,603
8,based,598
8,section,592
8,basic,586
8,paper,575
8,case,573
8,graph,572
8,type,544
9,work,2680
9,media,2595
9,research,2383
9,www,2069
9,com,1919
9,data,1889
9,digital,1748
9,university,1322
9,art,1292
9,project,1284
9,practice,1085
9,http,1075
9,network,992
9,org,980
9,context,892
9,knowledge,869
9,based,849
9,works,735
9,artistic,722
9,collaboration,712
9,projects,711
9,article,683
9,public,657
9,references,635
9,science,625
9,used,605
9,artwork,596
9,networks,583
9,web,575
9,field,570
9,net,542
9,paper,527
9,open,507
9,complex,505
9,cal,502
9,map,499
9,visualization,496
9,ways,494
9,approach,487
9,html,484
9,social,482
9,history,477
9,practices,474
9,working,462
9,using,462
9,contemporary,461
9,arts,460
9,uk,458
9,photo,457
9,london,455
10,form,5050
10,time,4519
10,process,4506
10,visual,3939
10,order,3228
10,different,3202
10,example,2809
10,forms,2794
10,language,2793
10,way,2660
10,space,2599
10,objects,2556
10,structure,2528
10,elements,2405
10,experience,2316
10,object,2313
10,theory,2272
10,nature,2199
10,sense,2176
10,information,2144
10,meaning,2127
10,system,2010
10,possible,1958
10,use,1956
10,part,1942
10,world,1893
10,means,1891
10,another,1835
10,particular,1828
10,point,1820
10,processes,1802
10,concept,1791
10,terms,1789
10,idea,1787
10,material,1755
10,abstract,1743
10,certain,1632
10,representation,1579
10,creative,1551
10,level,1532
10,development,1518
10,perception,1447
10,present,1441
10,model,1381
10,press,1338
10,reality,1336
10,structures,1335
10,view,1329
10,ideas,1322
10,approach,1318
11,music,12248
11,sound,6386
11,musical,5253
11,sounds,2251
11,composition,1826
11,new,1740
11,composer,1491
11,performance,1349
11,instruments,1232
11,notes,1010
11,instrument,987
11,notation,936
11,composers,888
11,electronic,879
11,score,866
11,work,864
11,pitch,855
11,piece,722
11,movement,691
11,note,682
11,based,652
11,xenakis,622
11,compositions,619
11,musicians,618
11,acoustic,593
11,tape,567
11,audio,553
11,listening,548
11,synthesis,534
11,two,529
11,sonic,528
11,used,518
11,frequency,515
11,tone,514
11,works,503
11,live,487
11,compositional,485
11,piano,474
11,played,473
11,recording,455
11,tones,444
11,rhythm,439
11,play,422
11,wave,419
11,source,411
11,scale,404
11,rhythmic,404
11,pieces,402
11,voice,395
11,several,381
12,science,13209
12,scientific,6215
12,new,4287
12,human,3667
12,nature,3584
12,world,3237
12,scientists,2739
12,physics,2692
12,man,2050
12,knowledge,1884
12,theory,1829
12,two,1622
12,sciences,1596
12,universe,1556
12,york,1549
12,reality,1498
12,natural,1438
12,physical,1371
12,press,1340
12,matter,1338
12,scientist,1190
12,modern,1163
12,energy,1151
12,view,1117
12,mind,1080
12,quantum,1079
12,philosophy,1046
12,phenomena,979
12,ideas,967
12,concepts,964
12,understanding,940
12,mathematics,919
12,thought,901
12,century,884
12,discovery,860
12,truth,852
12,laws,849
12,order,822
12,einstein,764
12,time,715
12,fundamental,708
12,cannot,701
12,theories,677
12,mathematical,656
12,chemistry,653
12,thinking,640
12,cambridge,635
12,based,635
